Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 09 17	14.1	2
2010 01 09 18	14.1	2
2010 01 09 19	14.1	2
2010 01 09 20	14.1	2
2010 01 09 21	14.0	2
2010 01 09 22	14.0	2
2010 01 09 23	14.0	2
2010 01 10 00	14.0	2
2010 01 10 01	13.8	2
2010 01 10 02	13.8	2
2010 01 10 03	13.9	2
2010 01 10 04	13.9	2
2010 01 10 05	13.8	2
2010 01 10 06	13.9	2
2010 01 10 07	13.9	2
2010 01 10 08	13.9	2
2010 01 10 09	13.9	2
2010 01 10 10	13.9	2
2010 01 10 11	13.9	2
2010 01 10 12	13.9	2
2010 01 10 13	13.9	2
2010 01 10 14	13.7	2
2010 01 10 15	13.6	2
2010 01 10 16	13.6	2
2010 01 10 17	13.6	2
2010 01 10 18	13.6	2
2010 01 10 19	13.7	2
2010 01 10 20	13.7	2
2010 01 10 21	13.8	2
2010 01 10 22	13.9	2
2010 01 10 23	13.9	2
2010 01 11 00	13.9	2
2010 01 11 01	14.0	2
2010 01 11 02	14.0	2
2010 01 11 03	13.9	2
2010 01 11 04	13.9	2
2010 01 11 05	14.0	2
2010 01 11 06	14.0	2
2010 01 11 07	14.0	2
2010 01 11 08	14.0	2
2010 01 11 09	14.0	2
2010 01 11 10	14.0	2
2010 01 11 11	14.0	2
2010 01 11 12	14.0	2
2010 01 11 13	13.9	2
2010 01 11 14	13.9	2
2010 01 11 15	13.7	2
2010 01 11 16	13.7	2
2010 01 11 17	13.7	2
2010 01 11 18	13.8	2
2010 01 11 19	13.9	2
2010 01 11 20	13.9	2
2010 01 11 21	13.7	2
2010 01 11 22	13.8	2
2010 01 11 23	13.7	2
2010 01 12 00	13.7	2
2010 01 12 01	13.5	2
2010 01 12 02	13.5	2
2010 01 12 03	13.8	2
2010 01 12 04	14.0	2
2010 01 12 05	13.7	2
2010 01 12 06	13.5	2
2010 01 12 07	13.5	2
2010 01 12 08	13.6	2
2010 01 12 09	13.6	2
2010 01 12 10	13.6	2
2010 01 12 11	13.7	2
2010 01 12 12	13.7	2
2010 01 12 13	13.7	2
2010 01 12 14	13.7	2
2010 01 12 15	13.7	2
2010 01 12 16	13.7	2
2010 01 12 17	13.8	2
2010 01 12 18	13.8	2
2010 01 12 19	13.7	2
2010 01 12 20	13.7	2
2010 01 12 21	13.7	2
2010 01 12 22	13.8	2
2010 01 12 23	13.9	2
2010 01 13 00	13.8	2
2010 01 13 01	13.9	2
2010 01 13 02	13.9	2
2010 01 13 03	13.9	2
2010 01 13 04	13.9	2
2010 01 13 05	13.9	2
2010 01 13 06	13.9	2
2010 01 13 07	13.9	2
2010 01 13 08	13.9	2
2010 01 13 09	13.9	2
2010 01 13 10	13.9	2
2010 01 13 11	13.9	2
2010 01 13 12	13.9	2
2010 01 13 13	13.9	2
2010 01 13 14	13.9	2
2010 01 13 15	14.0	2
2010 01 13 16	14.1	2
2010 01 13 17	14.0	2
2010 01 13 18	14.1	2
2010 01 13 19	14.1	2
2010 01 13 20	14.1	2
2010 01 13 21	14.0	2
2010 01 13 22	14.0	2
2010 01 13 23	14.0	2
2010 01 14 00	14.1	2
2010 01 14 01	14.0	2
2010 01 14 02	14.1	2
2010 01 14 03	14.0	2
2010 01 14 04	14.0	2
2010 01 14 05	14.0	2
2010 01 14 06	14.0	2
2010 01 14 07	14.0	2
2010 01 14 08	14.0	2
2010 01 14 09	14.0	2
2010 01 14 10	14.0	2
2010 01 14 11	14.0	2
2010 01 14 12	14.1	2
2010 01 14 13	14.3	2
2010 01 14 14	14.4	2
2010 01 14 15	14.3	2
2010 01 14 16	14.3	2
2010 01 14 17	14.3	2
2010 01 14 18	14.3	2
2010 01 14 19	14.3	2
2010 01 14 20	14.3	2
2010 01 14 21	14.3	2
2010 01 14 22	14.3	2
2010 01 14 23	14.3	2
2010 01 15 00	14.3	2
2010 01 15 01	14.3	2
2010 01 15 02	14.3	2
2010 01 15 03	14.2	2
2010 01 15 04	14.1	2
2010 01 15 05	14.1	2
2010 01 15 06	14.1	2
2010 01 15 07	14.1	2
2010 01 15 08	14.1	2
2010 01 15 09	14.1	2
2010 01 15 10	14.1	2
2010 01 15 11	14.0	2
2010 01 15 12	14.0	2
2010 01 15 13	14.1	2
2010 01 15 14	14.2	2
2010 01 15 15	14.2	2
2010 01 15 16	14.3	2
2010 01 15 17	14.3	2
2010 01 15 18	14.3	2
2010 01 15 19	14.3	2
2010 01 15 20	14.3	2
2010 01 15 21	14.3	2
2010 01 15 22	14.3	2
2010 01 15 23	14.3	2
2010 01 16 00	14.3	2
2010 01 16 01	14.3	2
2010 01 16 02	14.3	2
2010 01 16 03	14.2	2
2010 01 16 04	14.1	2
2010 01 16 05	14.1	2
2010 01 16 06	14.0	2
2010 01 16 07	14.0	2
2010 01 16 08	14.0	2
2010 01 16 09	14.0	2
2010 01 16 10	14.0	2
2010 01 16 11	14.0	2
2010 01 16 12	14.0	2
2010 01 16 13	14.1	2
2010 01 16 14	14.1	2
2010 01 16 15	14.1	2
2010 01 16 16	14.1	2
2010 01 16 17	14.1	2
2010 01 16 18	14.0	2
2010 01 16 19	14.0	2
2010 01 16 20	14.0	2
2010 01 16 21	14.0	2
2010 01 16 22	14.0	2
2010 01 16 23	14.0	2
2010 01 17 00	14.0	2
2010 01 17 01	14.0	2
2010 01 17 02	14.0	2
2010 01 17 03	14.1	2
2010 01 17 04	14.2	2
2010 01 17 05	14.2	2
2010 01 17 06	14.1	2
2010 01 17 07	14.1	2
2010 01 17 08	14.1	2
2010 01 17 09	14.1	2
2010 01 17 10	14.1	2
2010 01 17 11	14.1	2
2010 01 17 12	14.2	2
2010 01 17 13	14.2	2
2010 01 17 14	14.3	2
2010 01 17 15	14.3	2
2010 01 17 16	14.3	2
2010 01 17 17	14.3	2
2010 01 17 18	14.3	2
2010 01 17 19	14.3	2
2010 01 17 20	14.3	2
