,Año_left,Mes_left,tmed,prec,tmin,tmax,estación meteorológica,Altura_Media_Ola,Periodo_Medio,Playa,Temperatura del AguaºC
0,2010,01,7.8566666666666665,5.068965517241379,4.58,11.120000000000001,La Coruña Aeropuerto,3.138494623655914,9.842567204301075,Razon/Doniños/Pantín,14.042204301075268
0,2010,01,7.8566666666666665,5.068965517241379,4.58,11.120000000000001,La Coruña Aeropuerto,2.6661290322580644,11.220497311827955,Peñarronda/Cadavedo,13.862096774193548
0,2010,01,7.8566666666666665,5.068965517241379,4.58,11.120000000000001,La Coruña Aeropuerto,2.0199195710455764,8.264235924932976,Salinas,13.350134048257374
0,2010,01,7.8566666666666665,5.068965517241379,4.58,11.120000000000001,La Coruña Aeropuerto,1.840524193548387,6.524099462365592,Vega/Ribadesella,13.079184861717613
0,2010,01,7.8566666666666665,5.068965517241379,4.58,11.120000000000001,La Coruña Aeropuerto,2.0145941278065633,9.049119170984456,Plentzia/Mundaka/Zarautz,12.772790294627383
1,2010,02,8.325,4.903703703703704,4.253571428571428,12.435714285714285,La Coruña Aeropuerto,3.488467261904762,10.375208333333333,Razon/Doniños/Pantín,13.265178571428573
1,2010,02,8.325,4.903703703703704,4.253571428571428,12.435714285714285,La Coruña Aeropuerto,1.699375,10.040625,Peñarronda/Cadavedo,13.05625
1,2010,02,8.325,4.903703703703704,4.253571428571428,12.435714285714285,La Coruña Aeropuerto,2.135982142857143,9.838854166666668,Salinas,12.658333333333333
1,2010,02,8.325,4.903703703703704,4.253571428571428,12.435714285714285,La Coruña Aeropuerto,1.8278837555886736,6.394038748137108,Vega/Ribadesella,12.599392097264436
1,2010,02,8.325,4.903703703703704,4.253571428571428,12.435714285714285,La Coruña Aeropuerto,2.2373660714285712,9.876086309523808,Plentzia/Mundaka/Zarautz,12.274702380952382
2,2010,03,10.416129032258064,2.364516129032258,5.729032258064516,15.093548387096773,La Coruña Aeropuerto,2.9455779569892475,8.613225806451613,Razon/Doniños/Pantín,13.208198924731182
2,2010,03,10.416129032258064,2.364516129032258,5.729032258064516,15.093548387096773,La Coruña Aeropuerto,2.4960655737704918,6.762950819672131,Peñarronda/Cadavedo,20.272131147540982
2,2010,03,10.416129032258064,2.364516129032258,5.729032258064516,15.093548387096773,La Coruña Aeropuerto,2.060268817204301,8.51372311827957,Salinas,12.632123655913977
2,2010,03,10.416129032258064,2.364516129032258,5.729032258064516,15.093548387096773,La Coruña Aeropuerto,1.6838627187079407,6.101480484522207,Vega/Ribadesella,12.620544217687076
2,2010,03,10.416129032258064,2.364516129032258,5.729032258064516,15.093548387096773,La Coruña Aeropuerto,1.8076747311827959,8.285322580645161,Plentzia/Mundaka/Zarautz,12.108198924731182
3,2010,04,13.246666666666666,2.1,7.986666666666666,18.523333333333333,La Coruña Aeropuerto,2.3444707520891366,8.664693593314762,Razon/Doniños/Pantín,13.946378830083566
3,2010,04,13.246666666666666,2.1,7.986666666666666,18.523333333333333,La Coruña Aeropuerto,1.9144956772334296,8.749682997118155,Peñarronda/Cadavedo,20.28270893371758
3,2010,04,13.246666666666666,2.1,7.986666666666666,18.523333333333333,La Coruña Aeropuerto,1.6596522948539638,8.427009735744088,Salinas,13.309285714285714
3,2010,04,13.246666666666666,2.1,7.986666666666666,18.523333333333333,La Coruña Aeropuerto,1.381578212290503,5.4988407821229055,Vega/Ribadesella,13.532756132756134
3,2010,04,13.246666666666666,2.1,7.986666666666666,18.523333333333333,La Coruña Aeropuerto,1.3996388888888889,8.435569444444443,Plentzia/Mundaka/Zarautz,13.419583333333334
4,2010,05,14.116129032258065,2.5896551724137935,9.7,18.551612903225806,La Coruña Aeropuerto,1.8923790322580647,8.339502688172043,Razon/Doniños/Pantín,14.956317204301076
4,2010,05,14.116129032258065,2.5896551724137935,9.7,18.551612903225806,La Coruña Aeropuerto,2.0144767441860467,10.656220930232557,Peñarronda/Cadavedo,12.534302325581395
4,2010,05,14.116129032258065,2.5896551724137935,9.7,18.551612903225806,La Coruña Aeropuerto,1.4259139784946238,8.304569892473118,Salinas,14.605376344086022
4,2010,05,14.116129032258065,2.5896551724137935,9.7,18.551612903225806,La Coruña Aeropuerto,1.199744623655914,5.330846774193549,Vega/Ribadesella,14.866666666666667
4,2010,05,14.116129032258065,2.5896551724137935,9.7,18.551612903225806,La Coruña Aeropuerto,1.28502688172043,8.50728494623656,Plentzia/Mundaka/Zarautz,15.169354838709678
5,2010,06,16.506666666666668,3.493103448275862,12.373333333333333,20.636666666666667,La Coruña Aeropuerto,1.8830694444444445,8.326347222222223,Razon/Doniños/Pantín,16.008888888888887
5,2010,06,16.506666666666668,3.493103448275862,12.373333333333333,20.636666666666667,La Coruña Aeropuerto,2.253763888888889,10.636583333333334,Peñarronda/Cadavedo,14.020277777777778
5,2010,06,16.506666666666668,3.493103448275862,12.373333333333333,20.636666666666667,La Coruña Aeropuerto,1.5434583333333334,8.627527777777777,Salinas,16.994027777777777
5,2010,06,16.506666666666668,3.493103448275862,12.373333333333333,20.636666666666667,La Coruña Aeropuerto,1.2547486033519553,5.655712290502793,Vega/Ribadesella,17.43777777777778
5,2010,06,16.506666666666668,3.493103448275862,12.373333333333333,20.636666666666667,La Coruña Aeropuerto,1.4171111111111112,8.742513888888888,Plentzia/Mundaka/Zarautz,17.862916666666667
6,2010,07,18.470000000000002,0.8071428571428572,14.0,22.933333333333334,La Coruña Aeropuerto,1.8866263440860216,8.12127688172043,Razon/Doniños/Pantín,17.82150537634409
