,Año,Mes,Altura_Media_Ola,Periodo_Medio,Playa,Temperatura del AguaºC,tmed,prec,tmin,tmax,estación meteorológica
0,2010,01,3.138494623655914,9.842567204301075,Razon/Doniños/Pantín,14.042204301075268,,,,,
1,2010,02,3.488467261904762,10.375208333333333,Razon/Doniños/Pantín,13.265178571428573,,,,,
2,2010,03,2.9455779569892475,8.613225806451613,Razon/Doniños/Pantín,13.208198924731182,,,,,
3,2010,04,2.3444707520891366,8.664693593314762,Razon/Doniños/Pantín,13.946378830083566,,,,,
4,2010,05,1.8923790322580647,8.339502688172043,Razon/Doniños/Pantín,14.956317204301076,,,,,
5,2010,06,1.8830694444444445,8.326347222222223,Razon/Doniños/Pantín,16.008888888888887,,,,,
6,2010,07,1.8866263440860216,8.12127688172043,Razon/Doniños/Pantín,17.82150537634409,,,,,
7,2010,08,1.5724495289367428,7.126460296096904,Razon/Doniños/Pantín,18.39516129032258,,,,,
8,2010,09,1.9633194444444444,9.617611111111112,Razon/Doniños/Pantín,16.973214285714285,,,,,
9,2010,10,2.783064516129032,9.18510752688172,Razon/Doniños/Pantín,,,,,,
10,2010,11,3.489152777777778,10.06088888888889,Razon/Doniños/Pantín,,,,,,
11,2010,12,2.9350881953867027,9.152754409769335,Razon/Doniños/Pantín,14.375726744186046,,,,,
12,2011,01,3.187231182795699,9.597567204301075,Razon/Doniños/Pantín,13.678091397849462,,,,,
13,2011,02,4.321458333333333,12.338720238095236,Razon/Doniños/Pantín,13.09672619047619,,,,,
14,2011,03,2.588445945945946,9.989418918918918,Razon/Doniños/Pantín,13.107837837837836,,,,,
15,2011,04,2.4142916666666667,10.155861111111111,Razon/Doniños/Pantín,14.084027777777777,,,,,
16,2011,05,2.5628225806451614,9.162997311827956,Razon/Doniños/Pantín,14.690994623655914,,,,,
17,2011,06,1.9659305555555555,8.135708333333334,Razon/Doniños/Pantín,15.861527777777777,,,,,
18,2011,07,1.8162652232746956,7.987807848443842,Razon/Doniños/Pantín,17.149526387009473,,,,,
19,2011,08,1.535174731182796,7.796962365591397,Razon/Doniños/Pantín,18.846774193548388,,,,,
20,2011,09,2.267125,9.851166666666668,Razon/Doniños/Pantín,18.045833333333334,,,,,
21,2011,10,2.396478494623656,10.175766129032258,Razon/Doniños/Pantín,16.410752688172042,,,,,
22,2011,11,3.3016805555555555,10.672611111111111,Razon/Doniños/Pantín,16.110972222222223,,,,,
23,2011,12,3.6273252688172044,11.265793010752688,Razon/Doniños/Pantín,14.883870967741936,,,,,
24,2012,01,2.812983870967742,11.192836021505375,Razon/Doniños/Pantín,13.759139784946235,,,,,
25,2012,02,2.3609770114942528,9.574755747126437,Razon/Doniños/Pantín,12.941235632183908,,,,,
26,2012,03,2.45880376344086,10.366612903225807,Razon/Doniños/Pantín,12.766666666666666,,,,,
27,2012,04,2.969472222222222,9.362708333333332,Razon/Doniños/Pantín,13.202361111111113,,,,,
28,2012,05,1.9606720430107527,7.85747311827957,Razon/Doniños/Pantín,14.180376344086023,,,,,
29,2012,06,1.8075694444444446,8.158055555555556,Razon/Doniños/Pantín,16.0725,,,,,
30,2012,07,1.511478494623656,7.749717741935484,Razon/Doniños/Pantín,17.79018817204301,,,,,
31,2012,08,1.8667069892473118,8.178494623655915,Razon/Doniños/Pantín,18.801344086021505,,,,,
32,2012,09,2.117027777777778,8.93475,Razon/Doniños/Pantín,16.729861111111113,,,,,
33,2012,10,2.363051075268817,9.785846774193548,Razon/Doniños/Pantín,16.90483870967742,,,,,
34,2012,11,3.262569444444445,10.592916666666666,Razon/Doniños/Pantín,15.482475660639777,,,,,
35,2012,12,3.449233870967742,10.91853494623656,Razon/Doniños/Pantín,14.364516129032259,,,,,
36,2013,01,3.6934957020057304,11.04554441260745,Razon/Doniños/Pantín,13.860944206008583,,,,,
37,2013,03,3.236666666666667,9.646505847953216,Razon/Doniños/Pantín,12.799415204678361,,,,,
38,2013,04,3.4465833333333333,10.043986111111112,Razon/Doniños/Pantín,13.2475,,,,,
39,2013,05,2.5108467741935483,9.08481182795699,Razon/Doniños/Pantín,13.718145161290321,,,,,
40,2013,06,2.3213055555555555,7.772111111111111,Razon/Doniños/Pantín,14.555138888888889,,,,,
41,2013,07,1.6515322580645162,7.197674731182795,Razon/Doniños/Pantín,15.270698924731182,,,,,
42,2013,08,1.695897435897436,7.637408906882591,Razon/Doniños/Pantín,17.840215924426452,,,,,
43,2013,09,1.8800277777777776,8.757819444444445,Razon/Doniños/Pantín,16.139027777777777,,,,,
44,2013,10,2.753400537634409,9.34385752688172,Razon/Doniños/Pantín,16.813172043010752,,,,,
45,2013,11,3.288706536856745,9.780653685674547,Razon/Doniños/Pantín,16.316968011126566,,,,,
46,2013,12,4.20247311827957,11.341962365591398,Razon/Doniños/Pantín,14.126075268817203,,,,,
47,2014,01,5.149175257731959,12.370747422680413,Razon/Doniños/Pantín,13.517783505154638,,,,,
48,2014,02,5.037853658536585,12.028926829268292,Razon/Doniños/Pantín,12.446078431372548,,,,,
49,2014,03,3.2699193548387098,10.853225806451613,Razon/Doniños/Pantín,12.479166666666666,,,,,
50,2014,04,2.377263888888889,9.45748611111111,Razon/Doniños/Pantín,13.150416666666665,,,,,
51,2014,05,2.016827956989247,8.394556451612903,Razon/Doniños/Pantín,14.104435483870969,,,,,
52,2014,06,1.672986111111111,7.215236111111111,Razon/Doniños/Pantín,15.137638888888889,,,,,
53,2014,07,1.4904032258064515,7.280510752688172,Razon/Doniños/Pantín,17.763575268817206,,,,,
